"identifier"," latitude"," longitude"," time_windows_lower"," time_windows_upper"
0,"-23,550338","-47,897971",12:00:00,
1,"-23,530553","-47,254571",15:06:11,20:06:11
2,"-22,849509","-45,232496",13:06:49,18:06:49
3,"-24,510819","-48,844271",16:38:22,21:38:22
4,"-23,436597","-47,060825",16:02:23,21:02:23
5,"-23,502901","-47,616605",16:23:12,21:23:12
6,"-22,671744","-44,444127",13:59:45,18:59:45
7,"-23,396476","-46,319983",15:46:40,20:46:40
8,"-23,117059","-46,556262",15:31:25,20:31:25
9,"-22,681932","-44,328114",14:45:01,19:45:01
10,"-24,472203","-49,023784",14:31:17,19:31:17
11,"-24,759035","-48,50126",15:05:39,20:05:39
12,"-23,505689","-46,879042",13:22:44,18:22:44
13,"-23,848568","-46,139586",16:02:43,21:02:43
14,"-23,135579","-46,467474",15:39:07,20:39:07
15,"-23,797689","-48,595811",15:41:00,20:41:00
16,"-23,30533","-47,136251",14:09:09,19:09:09
17,"-23,099204","-45,707645",16:44:29,21:44:29
18,"-23,360729","-46,73974",14:06:50,19:06:50
19,"-23,355014","-46,878146",15:52:38,20:52:38
20,"-24,73239","-48,122347",15:02:38,20:02:38
21,"-23,207791","-46,788919",15:06:59,20:06:59
22,"-25,014428","-47,934074",14:11:45,19:11:45
23,"-24,011265","-48,348222",15:42:12,20:42:12
24,"-23,468471","-47,738834",15:56:56,20:56:56
25,"-23,612535","-45,412533",15:48:19,20:48:19
26,"-23,523471","-46,840676",17:07:48,22:07:48
27,"-23,602177","-46,91902",14:35:35,19:35:35
28,"-23,891121","-46,423968",16:23:41,21:23:41
29,"-23,0731","-44,957559",15:10:48,20:10:48
30,"-23,681347","-46,62052",17:05:44,22:05:44
31,"-24,52809","-48,114085",13:18:08,18:18:08
32,"-23,541056","-46,37097",14:19:51,19:19:51
33,"-23,279248","-46,744781",16:47:54,21:47:54
34,"-24,18921","-48,529549",14:02:05,19:02:05
35,"-23,411195","-46,036946",17:21:43,22:21:43
36,"-22,807534","-45,193788",17:17:33,22:17:33
37,"-23,988798","-46,257959",17:56:21,22:56:21
38,"-23,453758","-46,533347",16:49:52,21:49:52
39,"-23,65961","-47,223037",13:31:00,18:31:00
40,"-23,20366","-46,156985",14:08:20,19:08:20
41,"-24,730743","-47,538275",15:24:43,20:24:43
42,"-23,778533","-45,355226",15:19:52,20:19:52
43,"-23,351296","-47,692717",15:27:55,20:27:55
44,"-24,584718","-48,597119",15:26:49,20:26:49
45,"-24,173633","-46,787986",14:34:43,19:34:43
46,"-24,639252","-48,841285",14:15:59,19:15:59
47,"-23,716135","-46,857193",13:21:33,18:21:33
48,"-23,588607","-48,048326",17:32:13,22:32:13
49,"-23,550338","-47,897971",,
